Accuracy,Recall,Precision,F1-Score,Label
0.882,0.8034300915308711,0.9046438345221736,0.7730228498565951,10
0.941,0.9382495248990299,0.7008100656562378,0.6936994294696375,20
0.932,0.8935508769092867,0.924390877342358,0.9012888482289516,30
0.942,0.9179235751708821,0.9267443972697014,0.9217260766886656,40
0.889,0.8095544256010597,0.9127564145161394,0.7733891460105632,50
0.911,0.8710847776346119,0.7914725583568311,0.727420100179937,60
0.928,0.9023148203767531,0.7926419275972568,0.76748936189886,70
0.949,0.9253106789927613,0.9406452311846746,0.9317191785146056,80
0.94,0.9128906824232716,0.9335628631528321,0.9208807322893788,90
0.948,0.9224647012306368,0.9400587389393359,0.9288861597707077,100
0.951,0.930592032880281,0.9409251404405783,0.9345261833335843,110
0.953,0.9434714877725191,0.8094025113447387,0.8040860982481874,120
0.953,0.9362250197652022,0.9364088351233741,0.935820568233302,130
0.947,0.9289912086512696,0.9361227700122482,0.9317135499074953,140
0.957,0.9379276023161348,0.9468164258720068,0.9419889956532428,150
