Label,Accuracy,Precision,Recall,F1
10,0.28,0.721257514986371,0.2054665561554293,0.1358904460808156
20,0.301,0.3687591169707782,0.19908124698739496,0.1619075613254576
30,0.265,0.21631454296637573,0.20649450443152725,0.18372084840790914
40,0.267,0.21647869763479674,0.21283261697954503,0.19882556115615058
50,0.266,0.23712230625290112,0.22133763728826836,0.20877308043860301
60,0.276,0.2361763119402895,0.23135239004665434,0.2283181907875441
70,0.289,0.25125554537545325,0.24186267981274792,0.23620875159262353
80,0.301,0.2590757878826573,0.24593975608050614,0.2423788374410167
90,0.269,0.23789301827809137,0.23865787400674274,0.23645478245883797
100,0.302,0.2905306906814495,0.25977394559335376,0.25362952303401193
110,0.294,0.2672008794214396,0.2672526333605675,0.26497049488697405
120,0.334,0.3180759347984092,0.29137582500383297,0.2921701268219326
130,0.327,0.29728016020158105,0.2897247174811884,0.28558334616023096
140,0.345,0.3108657862884095,0.30407395976442436,0.3020768835960556
150,0.34,0.31189547581861343,0.2983353096992067,0.29734591021984896
