coarse_label,predicted_label
LOC,LOC
LOC,LOC
LOC,LOC
LOC,LOC
LOC,LOC
DESC,DESC
NUM,NUM
ENTY,ENCY
HUM,HUM
DESC,DESC
DESC,DESC
DESC,ENTY
HUM,HUM
NUM,NUM
DESC,DESC
DESC,DESCR
LOC,LOC
NUM,What year was the Mona Lisa painted ?
DESC,DESC
ENTY,DESC
HUM,HUM
HUM,HUM
DESC,DESC
LOC,LOC
DESC,DESC
HUM,HUM
LOC,LOC
HUM,HUM
HUM,HUM
ENTY,ENTY
DESC,DESC
LOC,LOC
DESC,DESC
DESC,DESC
NUM,NUM
DESC,DESC
DESC,"""DESC"""
ENTY,DESC
NUM,NUM
HUM,HUM
HUM,HUM
DESC,DESC
LOC,"Where did Howard Hughes die?

Since this asks for a location of a person's death, the closest category is 'LOC'.

Therefore, my response is:
LOC"
DESC,ENTY
LOC,LOC
LOC,LOC
DESC,DESC
HUM,HUM
ENTY,ESTY
NUM,NUM
DESC,"""DESC"""
NUM,NUM
NUM,NUM
ENTY,ENTY
HUM,HUM
LOC,LOC
HUM,HUM
HUM,HUM
LOC,LOC
NUM,NUM
NUM,NUM
ENTY,ENTITY
NUM,NUM
DESC,DESC
LOC,LOC
ENTY,ENCY
DESC,DESC
ENTY,ENTITY
NUM,NUM
DESC,DESC
ENTY,ENTY
DESC,DESC
ENTY,ENTY
NUM,NUM
ENTY,ETYM
DESC,DESC
DESC,DESC
NUM,NUM
NUM,ENTY
NUM,DESC
DESC,DESC
NUM,NUM
ENTY,ENTY
DESC,DESC
DESC,"""ABBR"""
LOC,LOC
DESC,DESC
DESC,DESC
HUM,ETY
HUM,HUM
LOC,LOC
DESC,DESC
ENTY,ENTY
ENTY,ENTY
LOC,HUM
ENTY,HUM
ENTY,ENTY
DESC,ENTITY
ENTY,ENTY
LOC,"The text is: ""What is the deepest lake in the US ?""
Based on the text, I think the closest category is 'LOC' (indicating a location).

So my response is simply:
LOC"
ABBR,ABBR
HUM,HUM
LOC,LOC
NUM,LOC
NUM,NUM
LOC,LOC
DESC,ENTITY
NUM,DESC
DESC,DESC
NUM,NUM
LOC,LOC
ABBR,ABBR
HUM,HUM
LOC,LOC
DESC,HUM
DESC,DESC
ENTY,ESTY
HUM,HUM
LOC,What is the capital of Yugoslavia?
