Label_Counts,Precisions,Recalls,Accuracies
0,0.0457406189013422,0.027800633541057947,0.526
10,0.6438096542955476,0.6370366169273073,0.874
20,0.7036531512751025,0.5940999917832251,0.844
30,0.4921926099389576,0.4805733864045374,0.828
40,0.8184328857155264,0.7576497327413527,0.924
50,0.9546502454548432,0.8265195340742674,0.944
60,0.7848289532757611,0.7820121152169667,0.934
70,0.9529349982402832,0.8434272064426688,0.942
80,0.9598207327423047,0.8650934060356851,0.948
90,0.9564413847022543,0.9196669648645631,0.952
100,0.9683135417690015,0.9295942696651917,0.962
