Label,Accuracy,Precision,Recall
0,0.658,0.5283578263168978,0.7666277778029187
10,0.61,0.5253280515695956,0.7858021422819385
20,0.742,0.658466502578395,0.8516546732491007
30,0.884,0.7471846016534508,0.913837327572309
40,0.904,0.8807334038218438,0.8643301984064772
50,0.896,0.8719037806667437,0.8636890440485773
60,0.898,0.8363425060212878,0.8790305342706802
70,0.916,0.8860437430547138,0.9031130339306267
80,0.924,0.8940456031706349,0.9082359294633098
90,0.926,0.8612597123674761,0.9482138271973727
100,0.938,0.9226273463862116,0.9519164326539622
110,0.938,0.9207115992425309,0.9473648411292115
120,0.948,0.8985081462622833,0.9579369748614018
130,0.96,0.9437718291043401,0.967252026903824
